START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/24/17,02:10 PM,04:10 PM,Giants at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/24/17,03/24/17,05:10 PM,07:10 PM,FALSE,TRUE,03/24/17,01:10 PM,03:10 PM,FREE,BUSY
03/25/17,02:10 PM,04:10 PM,Cubs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/25/17,03/25/17,05:10 PM,07:10 PM,FALSE,TRUE,03/25/17,01:10 PM,03:10 PM,FREE,BUSY
03/26/17,02:10 PM,04:10 PM,Rockies at Padres,Peoria Stadium - Peoria,"",03/26/17,03/26/17,05:10 PM,07:10 PM,FALSE,TRUE,03/26/17,01:10 PM,03:10 PM,FREE,BUSY
03/27/17,02:05 PM,04:05 PM,Rockies at Rangers,Surprise Stadium - Surprise,"",03/27/17,03/27/17,05:05 PM,07:05 PM,FALSE,TRUE,03/27/17,01:05 PM,03:05 PM,FREE,BUSY
03/28/17,01:10 PM,03:10 PM,Rangers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/28/17,03/28/17,04:10 PM,06:10 PM,FALSE,TRUE,03/28/17,12:10 PM,02:10 PM,FREE,BUSY
03/30/17,01:10 PM,03:10 PM,Rockies at Padres,Peoria Stadium - Peoria,"",03/30/17,03/30/17,04:10 PM,06:10 PM,FALSE,TRUE,03/30/17,12:10 PM,02:10 PM,FREE,BUSY
03/31/17,07:40 PM,09:40 PM,Rockies at Mariners,Peoria Stadium - Peoria,"",03/31/17,04/01/17,10:40 PM,12:40 AM,FALSE,TRUE,03/31/17,06:40 PM,08:40 PM,FREE,BUSY
04/01/17,01:10 PM,03:10 PM,Mariners at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",04/01/17,04/01/17,04:10 PM,06:10 PM,FALSE,TRUE,04/01/17,12:10 PM,02:10 PM,FREE,BUSY
04/03/17,12:10 PM,02:10 PM,Rockies at Brewers,Miller Park - Milwaukee,"",04/03/17,04/03/17,03:10 PM,05:10 PM,FALSE,TRUE,04/03/17,11:10 AM,01:10 PM,FREE,BUSY
04/04/17,05:40 PM,07:40 PM,Rockies at Brewers,Miller Park - Milwaukee,"",04/04/17,04/04/17,08:40 PM,10:40 PM,FALSE,TRUE,04/04/17,04:40 PM,06:40 PM,FREE,BUSY
04/05/17,06:10 PM,08:10 PM,Rockies at Brewers,Miller Park - Milwaukee,"",04/05/17,04/05/17,09:10 PM,11:10 PM,FALSE,TRUE,04/05/17,05:10 PM,07:10 PM,FREE,BUSY
04/06/17,11:40 AM,01:40 PM,Rockies at Brewers,Miller Park - Milwaukee,"",04/06/17,04/06/17,02:40 PM,04:40 PM,FALSE,TRUE,04/06/17,10:40 AM,12:40 PM,FREE,BUSY
04/07/17,02:10 PM,04:10 PM,Dodgers at Rockies,Coors Field - Denver,"",04/07/17,04/07/17,05:10 PM,07:10 PM,FALSE,TRUE,04/07/17,01:10 PM,03:10 PM,FREE,BUSY
04/08/17,06:10 PM,08:10 PM,Dodgers at Rockies,Coors Field - Denver,"",04/08/17,04/08/17,09:10 PM,11:10 PM,FALSE,TRUE,04/08/17,05:10 PM,07:10 PM,FREE,BUSY
04/09/17,01:10 PM,03:10 PM,Dodgers at Rockies,Coors Field - Denver,"",04/09/17,04/09/17,04:10 PM,06:10 PM,FALSE,TRUE,04/09/17,12:10 PM,02:10 PM,FREE,BUSY
04/10/17,06:40 PM,08:40 PM,Padres at Rockies,Coors Field - Denver,"",04/10/17,04/10/17,09:40 PM,11:40 PM,FALSE,TRUE,04/10/17,05:40 PM,07:40 PM,FREE,BUSY
04/11/17,06:40 PM,08:40 PM,Padres at Rockies,Coors Field - Denver,"",04/11/17,04/11/17,09:40 PM,11:40 PM,FALSE,TRUE,04/11/17,05:40 PM,07:40 PM,FREE,BUSY
04/12/17,01:10 PM,03:10 PM,Padres at Rockies,Coors Field - Denver,"",04/12/17,04/12/17,04:10 PM,06:10 PM,FALSE,TRUE,04/12/17,12:10 PM,02:10 PM,FREE,BUSY
04/13/17,08:15 PM,10:15 PM,Rockies at Giants,AT&T Park - San Francisco,"",04/13/17,04/14/17,11:15 PM,01:15 AM,FALSE,TRUE,04/13/17,07:15 PM,09:15 PM,FREE,BUSY
04/14/17,08:15 PM,10:15 PM,Rockies at Giants,AT&T Park - San Francisco,"",04/14/17,04/15/17,11:15 PM,01:15 AM,FALSE,TRUE,04/14/17,07:15 PM,09:15 PM,FREE,BUSY
04/15/17,02:05 PM,04:05 PM,Rockies at Giants,AT&T Park - San Francisco,"",04/15/17,04/15/17,05:05 PM,07:05 PM,FALSE,TRUE,04/15/17,01:05 PM,03:05 PM,FREE,BUSY
04/16/17,02:05 PM,04:05 PM,Rockies at Giants,AT&T Park - San Francisco,"",04/16/17,04/16/17,05:05 PM,07:05 PM,FALSE,TRUE,04/16/17,01:05 PM,03:05 PM,FREE,BUSY
04/18/17,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"",04/18/17,04/19/17,11:10 PM,01:10 AM,FALSE,TRUE,04/18/17,07:10 PM,09:10 PM,FREE,BUSY
04/19/17,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"",04/19/17,04/20/17,11:10 PM,01:10 AM,FALSE,TRUE,04/19/17,07:10 PM,09:10 PM,FREE,BUSY
04/21/17,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"",04/21/17,04/21/17,09:40 PM,11:40 PM,FALSE,TRUE,04/21/17,05:40 PM,07:40 PM,FREE,BUSY
04/22/17,06:10 PM,08:10 PM,Giants at Rockies,Coors Field - Denver,"",04/22/17,04/22/17,09:10 PM,11:10 PM,FALSE,TRUE,04/22/17,05:10 PM,07:10 PM,FREE,BUSY
04/23/17,01:10 PM,03:10 PM,Giants at Rockies,Coors Field - Denver,"",04/23/17,04/23/17,04:10 PM,06:10 PM,FALSE,TRUE,04/23/17,12:10 PM,02:10 PM,FREE,BUSY
04/24/17,06:40 PM,08:40 PM,Nationals at Rockies,Coors Field - Denver,"",04/24/17,04/24/17,09:40 PM,11:40 PM,FALSE,TRUE,04/24/17,05:40 PM,07:40 PM,FREE,BUSY
04/25/17,06:40 PM,08:40 PM,Nationals at Rockies,Coors Field - Denver,"",04/25/17,04/25/17,09:40 PM,11:40 PM,FALSE,TRUE,04/25/17,05:40 PM,07:40 PM,FREE,BUSY
04/26/17,06:40 PM,08:40 PM,Nationals at Rockies,Coors Field - Denver,"",04/26/17,04/26/17,09:40 PM,11:40 PM,FALSE,TRUE,04/26/17,05:40 PM,07:40 PM,FREE,BUSY
04/27/17,01:10 PM,03:10 PM,Nationals at Rockies,Coors Field - Denver,"",04/27/17,04/27/17,04:10 PM,06:10 PM,FALSE,TRUE,04/27/17,12:10 PM,02:10 PM,FREE,BUSY
